1,Wii Sports,41.49,82.74
2,Super Mario Bros.,29.08,40.24
3,Duck Hunt,26.93,35.82
4,Tetris,23.2,33
5,Mario Kart Wii,15.85,31.37
6,Wii Sports Resort,15.75,30.26
7,Kinect Adventures!,14.97,30.01
8,New Super Mario Bros. Wii,14.59,29.02
9,Wii Play,14.03,28.62
10,Super Mario World,12.78,28.31
11,New Super Mario Bros.,11.38,24.76
12,Pokemon Red/Pokemon Blue,11.27,23.42
13,Super Mario Land,10.83,23.1
14,Mario Kart DS,9.81,22.72
15,Call of Duty: Black Ops,9.67,22
16,Grand Theft Auto V,9.63,21.82
17,Super Mario Bros. 3,9.54,21.4
18,Grand Theft Auto: San Andreas,9.43,20.81
19,Wii Fit Plus,9.09,20.61
20,Nintendogs,9.07,20.22
21,Call of Duty: Modern Warfare 3,9.03,18.36
22,Pokemon Gold/Pokemon Silver,9,18.14
23,Wii Fit,8.94,17.28
24,Call of Duty: Modern Warfare 2,8.52,16.38
25,Grand Theft Auto: Vice City,8.41,16.15
26,Call of Duty: Black Ops II,8.25,15.85
27,Halo 3,7.97,15.32
28,Pac-Man,7.28,15.3
29,Halo: Reach,7.03,14.98
30,Grand Theft Auto V,7.01,14.76
31,Grand Theft Auto III,6.99,14.64
32,Super Mario 64,6.91,14.64
33,Gran Turismo 3: A-Spec,6.85,14.35
34,Halo 2,6.82,14.24
35,Grand Theft Auto IV,6.76,14.03
36,Super Smash Bros. Brawl,6.75,13.73
37,Call of Duty: Ghosts,6.72,13.51
38,Halo 4,6.63,13.46
39,Pokemon Diamond/Pokemon Pearl,6.42,13.1
40,Super Mario Galaxy,6.16,13.04
41,Super Mario Land 2: 6 Golden Coins,6.16,12.73
42,Pokemon Ruby/Pokemon Sapphire,6.06,12.27
43,Just Dance 3,6.05,12.21
44,Super Mario All-Stars,5.99,12.14
45,Call of Duty: Black Ops,5.98,11.98
46,Call of Duty 4: Modern Warfare,5.91,11.9
47,Pok̩mon Yellow: Special Pikachu Edition,5.89,11.89
48,Just Dance 2,5.84,11.66
49,GoldenEye 007,5.8,11.52
50,Call of Duty: Black Ops 3,5.77,11.33
51,Minecraft,5.58,11.18
52,Pokemon Black/Pokemon White,5.57,11.02
53,Mario Kart 64,5.55,10.95
54,Call of Duty: Modern Warfare 3,5.54,10.79
55,Super Mario Bros. 2,5.39,10.77
56,Pokemon X/Pokemon Y,5.17,10.69
57,Super Mario 64,5.08,10.57
58,The Elder Scrolls V: Skyrim,5.03,10.55
59,Call of Duty: Black Ops II,4.99,10.49
60,Call of Duty: Modern Warfare 2,4.99,10.42
61,Super Mario 3D Land,4.89,10.26
62,Call of Duty: World at War,4.79,10.21
63,Grand Theft Auto IV,4.76,9.88
64,Brain Age: Train Your Brain in Minutes a Day,4.75,9.87
65,Mario Kart 7,4.74,9.82
66,Mario Party DS,4.46,9.76
67,Battlefield 3,4.46,9.72
68,Pokemon HeartGold/Pokemon SoulSilver,4.4,9.59
69,Donkey Kong Country,4.36,9.52
70,Pokemon FireRed/Pokemon LeafGreen,4.34,9.49
71,Pokemon Omega Ruby/Pokemon Alpha Sapphire,4.23,9.32
72,The Legend of Zelda: Ocarina of Time,4.1,9.3
73,Call of Duty: Ghosts,4.09,9.2
74,Gran Turismo,4.02,9.09
75,Gran Turismo 2,3.88,9.02
76,Mario Party 8,3.81,8.84
77,Grand Theft Auto V,3.8,8.76
78,Crash Bandicoot 2: Cortex Strikes Back,3.78,8.49
79,New Super Mario Bros. 2,3.66,8.49
80,Super Mario Galaxy 2,3.66,8.49
81,Super Mario Kart,3.54,8.42
82,Brain Age 2: More Training in Minutes a Day,3.44,8.33
83,Super Smash Bros. for Wii U and 3DS,3.24,8.24
84,Gran Turismo 4,3.01,8.11
85,Final Fantasy VII,3.01,8.09
86,Gran Turismo 5,2.96,8.06
87,Star Wars Battlefront (2015),2.93,8.05
88,Pokemon Black 2/Pokemon White 2,2.91,7.86
89,Final Fantasy X,2.91,7.84
90,Grand Theft Auto: Liberty City Stories,2.9,7.81
91,Pok̩mon Platinum Version,2.82,7.72
92,Call of Duty: Advanced Warfare,2.8,7.69
93,Mario & Sonic at the Olympic Games,2.58,7.67
94,Animal Crossing: Wild World,2.55,7.6
95,Final Fantasy VIII,2.28,7.6
96,Animal Crossing: New Leaf,2.01,7.58
97,Wii Party,1.79,7.46
98,FIFA 16,1.11,7.45
99,FIFA Soccer 13,1.06,7.37
100,The Sims 3,0.98,7.34
